CallChannel,NbCall,SourceID,FiscalYear,ProductName_Level2
Face to Face,2,0011i000001xmpDAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xmpDAAQ,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xmpDAAQ,2019/2020,Triplixam
Face to Face,2,0011i000001xmpfAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmpHAAQ,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xmpHAAQ,2019/2020,Valdoxan
Face to Face,2,0011i000001xmpHAAQ,2020/2021,Coveram
Face to Face,2,0011i000001xmpHAAQ,2020/2021,Coversyl
Face to Face,2,0011i000001xmpHAAQ,2020/2021,Triplixam
Face to Face,2,0011i000001xmpjAAA,2019/2020,Cedraflon
Face to Face,2,0011i000001xmpjAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xmpjAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xmpkAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xmpkAAA,2019/2020,Diamicron MR
Face to Face,2,0011i000001xmpvAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xmpxAAA,2019/2020,Diamicron MR
Face to Face,2,0011i000001xmpxAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmpxAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmpYAAQ,2019/2020,Cedraflon
Face to Face,2,0011i000001xmpYAAQ,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xmpYAAQ,2020/2021,Coversyl Family
Face to Face,2,0011i000001xmpYAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmpYAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmqgAAA,2019/2020,Coveram
Face to Face,2,0011i000001xmqLAAQ,2019/2020,Cosyrel
Face to Face,2,0011i000001xmqLAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xmqLAAQ,2019/2020,Vastarel MR
Face to Face,2,0011i000001xmqoAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xmqoAAA,2019/2020,Diamicron MR
Face to Face,2,0011i000001xmqoAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmqUAAQ,2019/2020,Daflon 500
Face to Face,2,0011i000001xmqZAAQ,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xmrbAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmrHAAQ,2019/2020,Vastarel XR 80
Face to Face,2,0011i000001xmrHAAQ,2020/2021,Coversyl Family
Face to Face,2,0011i000001xmrKAAQ,2019/2020,Daflon 1000
Face to Face,2,0011i000001xms2AAA,2019/2020,Cedraflon
Face to Face,2,0011i000001xms2AAA,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xms2AAA,2019/2020,Daflon 1000
Face to Face,2,0011i000001xms2AAA,2020/2021,Daflon 500
Face to Face,2,0011i000001xms2AAA,2020/2021,NatSR/Natrixam
Face to Face,2,0011i000001xms4AAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xms7AAA,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xms7AAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xms7AAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xms8AAA,2019/2020,Coversyl
Face to Face,2,0011i000001xms8AAA,2019/2020,Natrixam
Face to Face,2,0011i000001xmsCAAQ,2020/2021,Coveram
Face to Face,2,0011i000001xmsCAAQ,2020/2021,Coversyl
Face to Face,2,0011i000001xmsCAAQ,2020/2021,Triplixam
Face to Face,2,0011i000001xmsEAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmsPAAQ,2019/2020,Daflon 1000
Face to Face,2,0011i000001xmsPAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmsxAAA,2019/2020,Daflon 1000
Face to Face,2,0011i000001xmsxAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xmsxAAA,2020/2021,Cosyrel
Face to Face,2,0011i000001xmsxAAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xmtAAAQ,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xmtAAAQ,2020/2021,Cosyrel
Face to Face,2,0011i000001xmtAAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmtFAAQ,2020/2021,Daflon 500
Face to Face,2,0011i000001xmtNAAQ,2020/2021,Coversyl Family
Face to Face,2,0011i000001xmtQAAQ,2019/2020,Coveram
Face to Face,2,0011i000001xmtQAAQ,2019/2020,Coversyl
Face to Face,2,0011i000001xmuFAAQ,2019/2020,Coversyl
Face to Face,2,0011i000001xmuFAAQ,2020/2021,Daflon 500
Face to Face,2,0011i000001xmuhAAA,2019/2020,Coveram
Face to Face,2,0011i000001xmuhAAA,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xmuhAAA,2019/2020,Triplixam
Face to Face,2,0011i000001xmurAAA,2019/2020,Cosyrel
Face to Face,2,0011i000001xmurAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xmurAAA,2019/2020,Vastarel MR
Face to Face,2,0011i000001xmurAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmurAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmurAAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xmuvAAA,2019/2020,Arcalion
Face to Face,2,0011i000001xmuvAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xmuvAAA,2020/2021,Daflon 500
Face to Face,2,0011i000001xmv4AAA,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xmv6AAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmvbAAA,2019/2020,Vastarel MR
Face to Face,2,0011i000001xmvbAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmvbAAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xmvkAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xmvKAAQ,2019/2020,Coversyl
Face to Face,2,0011i000001xmvKAAQ,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xmvKAAQ,2020/2021,Coversyl
Face to Face,2,0011i000001xmvKAAQ,2020/2021,NatSR/Natrixam
Face to Face,2,0011i000001xmvKAAQ,2020/2021,Triplixam
Face to Face,2,0011i000001xmvmAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmvmAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmvpAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xmvpAAA,2020/2021,Daflon 500
Face to Face,2,0011i000001xmvQAAQ,2019/2020,Coveram
Face to Face,2,0011i000001xmvQAAQ,2019/2020,Coversyl
Face to Face,2,0011i000001xmvQAAQ,2019/2020,Daflon 1000
Face to Face,2,0011i000001xmvsAAA,2019/2020,Cedraflon
Face to Face,2,0011i000001xmvsAAA,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xmvsAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xmvsAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmvUAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmvUAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmvWAAQ,2019/2020,Cosyrel
Face to Face,2,0011i000001xmwEAAQ,2019/2020,Daflon 500
Face to Face,2,0011i000001xmwEAAQ,2020/2021,Daflon 500
Face to Face,2,0011i000001xmwJAAQ,2019/2020,Daflon 1000
Face to Face,2,0011i000001xmwJAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xmx2AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmxbAAA,2019/2020,Daflon 1000
Face to Face,2,0011i000001xmxbAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmxnAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xmxoAAA,2020/2021,Daflon 500
Face to Face,2,0011i000001xmxtAAA,2020/2021,Daflon 500
Face to Face,2,0011i000001xmxwAAA,2019/2020,Coveram
Face to Face,2,0011i000001xmxwAAA,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xmxwAAA,2019/2020,Triplixam
Face to Face,2,0011i000001xmy2AAA,2019/2020,Cosyrel
Face to Face,2,0011i000001xmy2AAA,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xmy2AAA,2019/2020,Natrixam
Face to Face,2,0011i000001xmy2AAA,2020/2021,Coveram
Face to Face,2,0011i000001xmy2AAA,2020/2021,Coversyl
Face to Face,2,0011i000001xmy2AAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xmy2AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmy2AAA,2020/2021,Triplixam
Face to Face,2,0011i000001xmy7AAA,2020/2021,Valdoxan
Face to Face,2,0011i000001xmygAAA,2020/2021,Coveram
Face to Face,2,0011i000001xmygAAA,2020/2021,Natrilix Family
Face to Face,2,0011i000001xmygAAA,2020/2021,Triplixam
Face to Face,2,0011i000001xmyhAAA,2019/2020,Daflon 1000
Face to Face,2,0011i000001xmyQAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xmyQAAQ,2020/2021,Coversyl Family
Face to Face,2,0011i000001xmyQAAQ,2020/2021,NatSR/Natrixam
Face to Face,2,0011i000001xmyrAAA,2019/2020,Cosyrel
Face to Face,2,0011i000001xmyrAAA,2019/2020,Vastarel MR
Face to Face,2,0011i000001xmyrAAA,2020/2021,Coveram
Face to Face,2,0011i000001xmyrAAA,2020/2021,Triplixam
Face to Face,2,0011i000001xmyrAAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xmyWAAQ,2019/2020,Cosyrel
Face to Face,2,0011i000001xmyWAAQ,2019/2020,Vastarel MR
Face to Face,2,0011i000001xmz3AAA,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xmzbAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xmzbAAA,2019/2020,Diamicron MR
Face to Face,2,0011i000001xmzbAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xmzbAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmzmAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xmzmAAA,2020/2021,NatSR/Natrixam
Face to Face,2,0011i000001xmzUAAQ,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xmzxAAA,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xmzxAAA,2019/2020,Daflon 1000
Face to Face,2,0011i000001xmzzAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn0bAAA,2020/2021,Coralan
Face to Face,2,0011i000001xn0FAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn0hAAA,2020/2021,Coveram
Face to Face,2,0011i000001xn0pAAA,2019/2020,Deprexis
Face to Face,2,0011i000001xn0QAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn0sAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xn0sAAA,2019/2020,Diamicron MR
Face to Face,2,0011i000001xn0WAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn0ZAAQ,2020/2021,Coralan
Face to Face,2,0011i000001xn0ZAAQ,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xn16AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn18AAA,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xn1EAAQ,2020/2021,Cosyrel
Face to Face,2,0011i000001xn1GAAQ,2019/2020,Coveram
Face to Face,2,0011i000001xn1GAAQ,2019/2020,Coversyl
Face to Face,2,0011i000001xn1GAAQ,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn1iAAA,2019/2020,Natrixam
Face to Face,2,0011i000001xn1iAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn1iAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn1iAAA,2020/2021,NatSR/Natrixam
Face to Face,2,0011i000001xn1nAAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xn1SAAQ,2019/2020,Coversyl
Face to Face,2,0011i000001xn1SAAQ,2019/2020,Daflon 1000
Face to Face,2,0011i000001xn1SAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn1SAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn27AAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn27AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn2DAAQ,2019/2020,Cosyrel
Face to Face,2,0011i000001xn2DAAQ,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xn2DAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn2pAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xn2pAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xn2VAAQ,2020/2021,Valdoxan
Face to Face,2,0011i000001xn2VAAQ,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xn2yAAA,2019/2020,Natrixam
Face to Face,2,0011i000001xn2yAAA,2020/2021,Coveram
Face to Face,2,0011i000001xn2yAAA,2020/2021,Coversyl
Face to Face,2,0011i000001xn2yAAA,2020/2021,Triplixam
Face to Face,2,0011i000001xn2yAAA,2020/2021,Valdoxan
Face to Face,2,0011i000001xn31AAA,2019/2020,Vastarel MR
Face to Face,2,0011i000001xn33AAA,2020/2021,Coralan
Face to Face,2,0011i000001xn33AAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn33AAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn33AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn33AAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xn35AAA,2019/2020,Deprexis
Face to Face,2,0011i000001xn3BAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn3BAAQ,2020/2021,NatSR/Natrixam
Face to Face,2,0011i000001xn3FAAQ,2019/2020,Daflon 500
Face to Face,2,0011i000001xn3KAAQ,2020/2021,Daflon 500
Face to Face,2,0011i000001xn3lAAA,2019/2020,Diamicron MR
Face to Face,2,0011i000001xn3NAAQ,2019/2020,Daflon 500
Face to Face,2,0011i000001xn41AAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn41AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn4SAAQ,2019/2020,Triplixam
Face to Face,2,0011i000001xn4SAAQ,2020/2021,Natrilix Family
Face to Face,2,0011i000001xn4xAAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xn51AAA,2019/2020,Coveram
Face to Face,2,0011i000001xn51AAA,2019/2020,Coversyl
Face to Face,2,0011i000001xn5EAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn5FAAQ,2019/2020,Coveram
Face to Face,2,0011i000001xn5FAAQ,2019/2020,Coversyl
Face to Face,2,0011i000001xn5gAAA,2019/2020,Cedraflon
Face to Face,2,0011i000001xn5gAAA,2020/2021,Coveram
Face to Face,2,0011i000001xn5gAAA,2020/2021,Coversyl
Face to Face,2,0011i000001xn5gAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn5gAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn5gAAA,2020/2021,Triplixam
Face to Face,2,0011i000001xn5oAAA,2019/2020,Coveram
Face to Face,2,0011i000001xn5oAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xn5oAAA,2019/2020,Daflon 1000
Face to Face,2,0011i000001xn5oAAA,2019/2020,Triplixam
Face to Face,2,0011i000001xn5UAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn5UAAQ,2020/2021,NatSR/Natrixam
Face to Face,2,0011i000001xn64AAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xn67AAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xn69AAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn7GAAQ,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xn7jAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn7rAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xn7rAAA,2019/2020,Daflon 1000
Face to Face,2,0011i000001xn7VAAQ,2019/2020,Daflon 1000
Face to Face,2,0011i000001xn7VAAQ,2019/2020,Natrixam
Face to Face,2,0011i000001xn7VAAQ,2020/2021,Coveram
Face to Face,2,0011i000001xn7VAAQ,2020/2021,Coversyl
Face to Face,2,0011i000001xn7VAAQ,2020/2021,Triplixam
Face to Face,2,0011i000001xn7zAAA,2019/2020,Natrixam
Face to Face,2,0011i000001xn7zAAA,2020/2021,Coveram
Face to Face,2,0011i000001xn7zAAA,2020/2021,Coversyl
Face to Face,2,0011i000001xn7zAAA,2020/2021,Triplixam
Face to Face,2,0011i000001xn7zAAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xn84AAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn84AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn8iAAA,2020/2021,Daflon 500
Face to Face,2,0011i000001xn8jAAA,2019/2020,Cedraflon
Face to Face,2,0011i000001xn8jAAA,2019/2020,Coveram
Face to Face,2,0011i000001xn8jAAA,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xn8jAAA,2019/2020,Triplixam
Face to Face,2,0011i000001xn8jAAA,2020/2021,Coveram
Face to Face,2,0011i000001xn8jAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn8mAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xn8NAAQ,2020/2021,Coveram
Face to Face,2,0011i000001xn8NAAQ,2020/2021,Coversyl
Face to Face,2,0011i000001xn8NAAQ,2020/2021,Triplixam
Face to Face,2,0011i000001xn8yAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xn8yAAA,2020/2021,Coveram
Face to Face,2,0011i000001xn8yAAA,2020/2021,Coversyl
Face to Face,2,0011i000001xn8yAAA,2020/2021,Triplixam
Face to Face,2,0011i000001xn90AAA,2019/2020,Daflon 1000
Face to Face,2,0011i000001xn90AAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn9AAAQ,2019/2020,Cosyrel
Face to Face,2,0011i000001xn9bAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn9CAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xn9DAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xn9eAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn9HAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn9MAAQ,2020/2021,Daflon 500
Face to Face,2,0011i000001xn9pAAA,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xn9pAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xn9pAAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xn9SAAQ,2020/2021,Coversyl Family
Face to Face,2,0011i000001xn9UAAQ,2019/2020,Natrixam
Face to Face,2,0011i000001xn9UAAQ,2020/2021,Coralan
Face to Face,2,0011i000001xn9YAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xna0AAA,2020/2021,Daflon 500
Face to Face,2,0011i000001xna0AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnAaAAI,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnAaAAI,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnAbAAI,2019/2020,Diamicron MR
Face to Face,2,0011i000001xnABAAY,2019/2020,Daflon 1000
Face to Face,2,0011i000001xnABAAY,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnABAAY,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnaGAAQ,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xnaGAAQ,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnaGAAQ,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnAMAAY,2019/2020,Coversyl
Face to Face,2,0011i000001xnAnAAI,2019/2020,Diamicron MR
Face to Face,2,0011i000001xnApAAI,2019/2020,Daflon 500
Face to Face,2,0011i000001xnApAAI,2020/2021,Coveram
Face to Face,2,0011i000001xnApAAI,2020/2021,Coversyl
Face to Face,2,0011i000001xnApAAI,2020/2021,Coversyl Family
Face to Face,2,0011i000001xnarAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnAVAAY,2019/2020,Coveram
Face to Face,2,0011i000001xnAVAAY,2019/2020,Diamicron MR
Face to Face,2,0011i000001xnAWAAY,2019/2020,Daflon 500
Face to Face,2,0011i000001xnAWAAY,2019/2020,Diamicron MR
Face to Face,2,0011i000001xnAWAAY,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnAxAAI,2019/2020,Cedraflon
Face to Face,2,0011i000001xnAxAAI,2019/2020,Coveram
Face to Face,2,0011i000001xnAxAAI,2019/2020,Coversyl
Face to Face,2,0011i000001xnAxAAI,2019/2020,Daflon 500
Face to Face,2,0011i000001xnAxAAI,2020/2021,Coversyl Family
Face to Face,2,0011i000001xnAYAAY,2020/2021,Daflon 500
Face to Face,2,0011i000001xnAYAAY,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnb8AAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xnb8AAA,2020/2021,Daflon 500
Face to Face,2,0011i000001xnB9AAI,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnB9AAI,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xnBcAAI,2019/2020,Coveram
Face to Face,2,0011i000001xnbgAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xnBhAAI,2019/2020,Coveram
Face to Face,2,0011i000001xnBhAAI,2019/2020,Triplixam
Face to Face,2,0011i000001xnblAAA,2019/2020,Coveram
Face to Face,2,0011i000001xnblAAA,2019/2020,Triplixam
Face to Face,2,0011i000001xnBmAAI,2019/2020,Triplixam
Face to Face,2,0011i000001xnBnAAI,2020/2021,Coveram
Face to Face,2,0011i000001xnBnAAI,2020/2021,Coversyl
Face to Face,2,0011i000001xnBnAAI,2020/2021,Triplixam
Face to Face,2,0011i000001xnBPAAY,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xnbsAAA,2019/2020,Coversyl
Face to Face,2,0011i000001xnBvAAI,2020/2021,Coversyl Family
Face to Face,2,0011i000001xnBVAAY,2019/2020,Vastarel XR 80
Face to Face,2,0011i000001xnBVAAY,2020/2021,Vastarel MR
Face to Face,2,0011i000001xnbwAAA,2019/2020,Diamicron MR
Face to Face,2,0011i000001xnbwAAA,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xnBwAAI,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnBwAAI,2020/2021,Daflon 500
Face to Face,2,0011i000001xnbYAAQ,2020/2021,Coralan
Face to Face,2,0011i000001xnc1AAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xnc2AAA,2019/2020,Natrixam
Face to Face,2,0011i000001xnc7AAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnc7AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xncaAAA,2019/2020,Cedraflon
Face to Face,2,0011i000001xncaAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xncaAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xncBAAQ,2019/2020,Daflon 1000
Face to Face,2,0011i000001xnCCAAY,2019/2020,Diamicron MR
Face to Face,2,0011i000001xnCCAAY,2020/2021,Natrilix Family
Face to Face,2,0011i000001xncdAAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnCdAAI,2019/2020,Cedraflon
Face to Face,2,0011i000001xnCdAAI,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xnCdAAI,2019/2020,Daflon 500
Face to Face,2,0011i000001xnCDAAY,2019/2020,Coveram
Face to Face,2,0011i000001xnCDAAY,2019/2020,Triplixam
Face to Face,2,0011i000001xnCeAAI,2019/2020,Coveram
Face to Face,2,0011i000001xnCeAAI,2019/2020,Triplixam
Face to Face,2,0011i000001xncfAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xnCfAAI,2020/2021,Daflon 500
Face to Face,2,0011i000001xncgAAA,2019/2020,Daflon 500
Face to Face,2,0011i000001xncgAAA,2019/2020,Diamicron MR
Face to Face,2,0011i000001xncjAAA,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xncjAAA,2020/2021,Coversyl Family
Face to Face,2,0011i000001xncLAAQ,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xnCnAAI,2019/2020,Coversyl
Face to Face,2,0011i000001xnCnAAI,2019/2020,Natrixam
Face to Face,2,0011i000001xnCnAAI,2020/2021,Coversyl Family
Face to Face,2,0011i000001xnCnAAI,2020/2021,NatSR/Natrixam
Face to Face,2,0011i000001xnCpAAI,2020/2021,Coralan
Face to Face,2,0011i000001xncqAAA,2019/2020,Cosyrel
Face to Face,2,0011i000001xncqAAA,2019/2020,Coveram
Face to Face,2,0011i000001xncqAAA,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xncqAAA,2019/2020,Vastarel MR
Face to Face,2,0011i000001xnCtAAI,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xncTAAQ,2019/2020,Cosyrel
Face to Face,2,0011i000001xncTAAQ,2019/2020,Vastarel MR
Face to Face,2,0011i000001xnCwAAI,2020/2021,Coversyl Family
Face to Face,2,0011i000001xnCwAAI,2020/2021,Daflon 500
Face to Face,2,0011i000001xnCxAAI,2019/2020,Daflon 1000
Face to Face,2,0011i000001xnCxAAI,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnCxAAI,2020/2021,Diamicron MR
Face to Face,2,0011i000001xncZAAQ,2019/2020,Cedraflon
Face to Face,2,0011i000001xncZAAQ,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xncZAAQ,2019/2020,Daflon 500
Face to Face,2,0011i000001xncZAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xnD3AAI,2019/2020,Vastarel MR
Face to Face,2,0011i000001xnD3AAI,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xnd4AAA,2020/2021,Daflon 1000
Face to Face,2,0011i000001xnd4AAA,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnd7AAA,2020/2021,Coveram
Face to Face,2,0011i000001xnd7AAA,2020/2021,Coversyl
Face to Face,2,0011i000001xnd7AAA,2020/2021,Triplixam
Face to Face,2,0011i000001xnDaAAI,2020/2021,Coveram
Face to Face,2,0011i000001xnDaAAI,2020/2021,Coversyl
Face to Face,2,0011i000001xnDaAAI,2020/2021,Daflon 500
Face to Face,2,0011i000001xnDaAAI,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnDaAAI,2020/2021,Valdoxan
Face to Face,2,0011i000001xndAAAQ,2019/2020,Coveram
Face to Face,2,0011i000001xndAAAQ,2019/2020,Diamicron MR
Face to Face,2,0011i000001xndAAAQ,2019/2020,Triplixam
Face to Face,2,0011i000001xnDBAAY,2019/2020,Coveram
Face to Face,2,0011i000001xnDBAAY,2019/2020,NatSR/Natrixam
Face to Face,2,0011i000001xnDBAAY,2019/2020,Triplixam
Face to Face,2,0011i000001xnDBAAY,2020/2021,Coveram
Face to Face,2,0011i000001xnDBAAY,2020/2021,Coversyl
Face to Face,2,0011i000001xnDBAAY,2020/2021,Triplixam
Face to Face,2,0011i000001xnDcAAI,2019/2020,Coversyl Plus
Face to Face,2,0011i000001xnDcAAI,2020/2021,Diamicron MR
Face to Face,2,0011i000001xnDfAAI,2019/2020,Vastarel MR
Face to Face,2,0011i000001xnDFAAY,2019/2020,Daflon 500
Face to Face,2,0011i000001xnDFAAY,2019/2020,Diamicron MR
Face to Face,2,0011i000001xnDFAAY,2020/2021,Vastarel XR 80
Face to Face,2,0011i000001xnDmAAI,2020/2021,Coversyl Family
Face to Face,2,0011i000001xndPAAQ,2020/2021,Valdoxan
Face to Face,2,0011i000001xnDzAAI,2020/2021,Daflon 500
